RunID,ConfigID,Repetition,Problema,PopSize,CrossoverProb,MutationProb,Generations,TiempoMs,Seed,SolutionID,Objetivo,Valor
C01_R21,1,21,HandballFixture,100,1.000,0.010,1000,1350,1021,1,Restriccion,0.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1322,1022,1,O1,84.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1322,1022,1,O2,16.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1322,1022,1,Restriccion,0.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1313,1023,1,O1,84.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1313,1023,1,O2,22.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1313,1023,1,Restriccion,0.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1358,1024,1,O1,85.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1358,1024,1,O2,12.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1358,1024,1,Restriccion,0.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1358,1024,2,O1,84.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1358,1024,2,O2,13.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1358,1024,2,Restriccion,0.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1327,1025,1,O1,84.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1327,1025,1,O2,32.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1327,1025,1,Restriccion,0.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1327,1025,2,O1,86.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1327,1025,2,O2,30.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1327,1025,2,Restriccion,0.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1470,1026,1,O1,84.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1470,1026,1,O2,22.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1470,1026,1,Restriccion,0.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1333,1027,1,O1,84.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1333,1027,1,O2,19.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1333,1027,1,Restriccion,0.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1375,1028,1,O1,86.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1375,1028,1,O2,18.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1375,1028,1,Restriccion,0.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1375,1028,2,O1,84.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1375,1028,2,O2,19.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1375,1028,2,Restriccion,0.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1363,1029,1,O1,84.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1363,1029,1,O2,23.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1363,1029,1,Restriccion,0.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1363,1029,2,O1,86.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1363,1029,2,O2,22.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1363,1029,2,Restriccion,0.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1380,1030,1,O1,84.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1380,1030,1,O2,14.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1380,1030,1,Restriccion,0.000000
C01_R31,1,31,HandballFixture,100,1.000,0.010,1000,1340,1031,1,O1,84.000000
C01_R31,1,31,HandballFixture,100,1.000,0.010,1000,1340,1031,1,O2,20.000000
C01_R31,1,31,HandballFixture,100,1.000,0.010,1000,1340,1031,1,Restriccion,0.000000
C01_R32,1,32,HandballFixture,100,1.000,0.010,1000,1330,1032,1,O1,84.000000
C01_R32,1,32,HandballFixture,100,1.000,0.010,1000,1330,1032,1,O2,18.000000
C01_R32,1,32,HandballFixture,100,1.000,0.010,1000,1330,1032,1,Restriccion,0.000000
C01_R33,1,33,HandballFixture,100,1.000,0.010,1000,1329,1033,1,O1,84.000000
C01_R33,1,33,HandballFixture,100,1.000,0.010,1000,1329,1033,1,O2,30.000000
C01_R33,1,33,HandballFixture,100,1.000,0.010,1000,1329,1033,1,Restriccion,0.000000
C01_R34,1,34,HandballFixture,100,1.000,0.010,1000,1353,1034,1,O1,84.000000
C01_R34,1,34,HandballFixture,100,1.000,0.010,1000,1353,1034,1,O2,16.000000
C01_R34,1,34,HandballFixture,100,1.000,0.010,1000,1353,1034,1,Restriccion,0.000000
C01_R35,1,35,HandballFixture,100,1.000,0.010,1000,1339,1035,1,O1,84.000000
C01_R35,1,35,HandballFixture,100,1.000,0.010,1000,1339,1035,1,O2,17.000000
C01_R35,1,35,HandballFixture,100,1.000,0.010,1000,1339,1035,1,Restriccion,0.000000
C01_R36,1,36,HandballFixture,100,1.000,0.010,1000,1359,1036,1,O1,84.000000
C01_R36,1,36,HandballFixture,100,1.000,0.010,1000,1359,1036,1,O2,12.000000
C01_R36,1,36,HandballFixture,100,1.000,0.010,1000,1359,1036,1,Restriccion,0.000000
C01_R37,1,37,HandballFixture,100,1.000,0.010,1000,1423,1037,1,O1,84.000000
C01_R37,1,37,HandballFixture,100,1.000,0.010,1000,1423,1037,1,O2,18.000000
C01_R37,1,37,HandballFixture,100,1.000,0.010,1000,1423,1037,1,Restriccion,0.000000
C01_R38,1,38,HandballFixture,100,1.000,0.010,1000,1336,1038,1,O1,84.000000
C01_R38,1,38,HandballFixture,100,1.000,0.010,1000,1336,1038,1,O2,20.000000
C01_R38,1,38,HandballFixture,100,1.000,0.010,1000,1336,1038,1,Restriccion,0.000000
C01_R39,1,39,HandballFixture,100,1.000,0.010,1000,1376,1039,1,O1,84.000000
C01_R39,1,39,HandballFixture,100,1.000,0.010,1000,1376,1039,1,O2,16.000000
C01_R39,1,39,HandballFixture,100,1.000,0.010,1000,1376,1039,1,Restriccion,0.000000
C01_R40,1,40,HandballFixture,100,1.000,0.010,1000,1376,1040,1,O1,84.000000
C01_R40,1,40,HandballFixture,100,1.000,0.010,1000,1376,1040,1,O2,32.000000
C01_R40,1,40,HandballFixture,100,1.000,0.010,1000,1376,1040,1,Restriccion,0.000000
C01_R41,1,41,HandballFixture,100,1.000,0.010,1000,1380,1041,1,O1,84.000000
C01_R41,1,41,HandballFixture,100,1.000,0.010,1000,1380,1041,1,O2,17.000000
C01_R41,1,41,HandballFixture,100,1.000,0.010,1000,1380,1041,1,Restriccion,0.000000
C01_R42,1,42,HandballFixture,100,1.000,0.010,1000,1418,1042,1,O1,84.000000
C01_R42,1,42,HandballFixture,100,1.000,0.010,1000,1418,1042,1,O2,18.000000
C01_R42,1,42,HandballFixture,100,1.000,0.010,1000,1418,1042,1,Restriccion,0.000000
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1429,1043,1,O1,84.000000
