RunID,ConfigID,Repetition,Problema,PopSize,CrossoverProb,MutationProb,Generations,TiempoMs,Seed,SolutionID,Objetivo,Valor
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1114,1043,1,O1,20.000000
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1114,1043,1,O2,5.000000
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1114,1043,1,Restriccion,0.000000
C01_R44,1,44,HandballFixture,100,1.000,0.010,1000,1115,1044,1,O1,20.000000
C01_R44,1,44,HandballFixture,100,1.000,0.010,1000,1115,1044,1,O2,5.000000
C01_R44,1,44,HandballFixture,100,1.000,0.010,1000,1115,1044,1,Restriccion,0.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1149,1045,1,O1,20.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1149,1045,1,O2,6.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1149,1045,1,Restriccion,0.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1149,1045,2,O1,21.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1149,1045,2,O2,5.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1149,1045,2,Restriccion,0.000000
C01_R46,1,46,HandballFixture,100,1.000,0.010,1000,1131,1046,1,O1,20.000000
C01_R46,1,46,HandballFixture,100,1.000,0.010,1000,1131,1046,1,O2,6.000000
C01_R46,1,46,HandballFixture,100,1.000,0.010,1000,1131,1046,1,Restriccion,0.000000
C01_R47,1,47,HandballFixture,100,1.000,0.010,1000,1105,1047,1,O1,20.000000
C01_R47,1,47,HandballFixture,100,1.000,0.010,1000,1105,1047,1,O2,5.000000
C01_R47,1,47,HandballFixture,100,1.000,0.010,1000,1105,1047,1,Restriccion,0.000000
C01_R48,1,48,HandballFixture,100,1.000,0.010,1000,1103,1048,1,O1,20.000000
C01_R48,1,48,HandballFixture,100,1.000,0.010,1000,1103,1048,1,O2,5.000000
C01_R48,1,48,HandballFixture,100,1.000,0.010,1000,1103,1048,1,Restriccion,0.000000
C01_R49,1,49,HandballFixture,100,1.000,0.010,1000,1180,1049,1,O1,20.000000
C01_R49,1,49,HandballFixture,100,1.000,0.010,1000,1180,1049,1,O2,5.000000
C01_R49,1,49,HandballFixture,100,1.000,0.010,1000,1180,1049,1,Restriccion,0.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1307,1050,1,O1,20.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1307,1050,1,O2,5.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1307,1050,1,Restriccion,0.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,1788,2001,1,O1,20.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,1788,2001,1,O2,6.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,1788,2001,1,Restriccion,0.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,1700,2002,1,O1,20.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,1700,2002,1,O2,5.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,1700,2002,1,Restriccion,0.000000
C02_R03,2,3,HandballFixture,100,1.000,0.010,1500,1696,2003,1,O1,20.000000
C02_R03,2,3,HandballFixture,100,1.000,0.010,1500,1696,2003,1,O2,5.000000
C02_R03,2,3,HandballFixture,100,1.000,0.010,1500,1696,2003,1,Restriccion,0.000000
C02_R04,2,4,HandballFixture,100,1.000,0.010,1500,1664,2004,1,O1,20.000000
C02_R04,2,4,HandballFixture,100,1.000,0.010,1500,1664,2004,1,O2,6.000000
C02_R04,2,4,HandballFixture,100,1.000,0.010,1500,1664,2004,1,Restriccion,0.000000
C02_R05,2,5,HandballFixture,100,1.000,0.010,1500,1678,2005,1,O1,20.000000
C02_R05,2,5,HandballFixture,100,1.000,0.010,1500,1678,2005,1,O2,6.000000
C02_R05,2,5,HandballFixture,100,1.000,0.010,1500,1678,2005,1,Restriccion,0.000000
C02_R06,2,6,HandballFixture,100,1.000,0.010,1500,1693,2006,1,O1,20.000000
